AuditID,BusinessSegment,AuditDate,Product,RiskScore,OperatingEffectiveness,AuditResult,RiskRating
1,Wealth Management,2023-01-01 00:00:00,Investment,18.513292883861965,63.0852841867953,Pass,Medium Risk
2,Investment Banking,2023-01-01 01:00:00,Insurance,54.190094737835814,62.348939953599995,Fail,Medium Risk
3,Retail,2023-01-01 02:00:00,Loan,87.29458358764083,95.31272902605184,Pass,Low Risk
4,Wealth Management,2023-01-01 03:00:00,Loan,73.22248864095612,62.477309992475305,Pass,Medium Risk
5,Wealth Management,2023-01-01 04:00:00,Loan,80.65611478614497,63.59748630643155,Pass,Medium Risk
6,Investment Banking,2023-01-01 05:00:00,Loan,65.87833667107174,87.96991312089818,Fail,Low Risk
7,Retail,2023-01-01 06:00:00,Mortgage,69.22765645178525,72.486992122527,Fail,Medium Risk
8,Retail,2023-01-01 07:00:00,Loan,84.91956515653193,88.83552784775907,Pass,Low Risk
9,Wealth Management,2023-01-01 08:00:00,Mortgage,24.966800885918595,53.26830787821926,Pass,High Risk
10,Corporate,2023-01-01 09:00:00,Mortgage,48.942496364314046,74.37855968366921,Pass,Medium Risk
11,Wealth Management,2023-01-01 10:00:00,Loan,22.120944181960223,51.680680009164135,Pass,High Risk
12,Wealth Management,2023-01-01 11:00:00,Loan,98.7668007996647,53.13266017276773,Pass,High Risk
13,Wealth Management,2023-01-01 12:00:00,Investment,94.40593396866133,95.32187266722055,Pass,Low Risk
14,Wealth Management,2023-01-01 13:00:00,Insurance,3.94268113685059,56.96226855587976,Pass,High Risk
15,Investment Banking,2023-01-01 14:00:00,Loan,70.55751725156884,76.62103411376086,Pass,Medium Risk
16,Retail,2023-01-01 15:00:00,Investment,92.52483174156659,70.55478013003533,Pass,Medium Risk
17,Investment Banking,2023-01-01 16:00:00,Investment,18.057534512733355,67.36716631294213,Pass,Medium Risk
18,Investment Banking,2023-01-01 17:00:00,Insurance,56.79452305526295,94.99166728436361,Pass,Low Risk
19,Investment Banking,2023-01-01 18:00:00,Mortgage,91.54882975880419,51.091169838774476,Pass,High Risk
20,Wealth Management,2023-01-01 19:00:00,Loan,3.394597858579884,83.18948430877946,Fail,Low Risk
21,Corporate,2023-01-01 20:00:00,Insurance,69.742026724684,98.16972171067752,Pass,Low Risk
22,Retail,2023-01-01 21:00:00,Loan,29.734900737255078,78.0084091730921,Pass,Medium Risk
23,Corporate,2023-01-01 22:00:00,Investment,92.43961953765304,96.84112310165459,Pass,Low Risk
24,Investment Banking,2023-01-01 23:00:00,Investment,97.10582451653677,52.612893964301186,Pass,High Risk
25,Investment Banking,2023-01-02 00:00:00,Mortgage,94.42664891134339,70.93966595370807,Pass,Medium Risk
26,Corporate,2023-01-02 01:00:00,Investment,47.42142166574638,63.007889548102554,Pass,Medium Risk
27,Corporate,2023-01-02 02:00:00,Investment,86.20426509893134,86.54104824903649,Fail,Low Risk
28,Corporate,2023-01-02 03:00:00,Insurance,84.45493985350704,99.06485452486234,Pass,Low Risk
29,Investment Banking,2023-01-02 04:00:00,Loan,31.910047324325564,62.82650312221239,Pass,Medium Risk
30,Investment Banking,2023-01-02 05:00:00,Loan,82.89154741506773,82.70873007370372,Pass,Low Risk
31,Retail,2023-01-02 06:00:00,Insurance,3.700763471549262,59.904881637987,Pass,High Risk
32,Retail,2023-01-02 07:00:00,Mortgage,59.6269878482053,78.2665127285805,Pass,Medium Risk
33,Investment Banking,2023-01-02 08:00:00,Loan,23.000883728770305,73.19662433441681,Fail,Medium Risk
34,Corporate,2023-01-02 09:00:00,Investment,12.056688577727881,98.60026648157685,Pass,Low Risk
35,Corporate,2023-01-02 10:00:00,Loan,7.695320162920916,80.42636363482333,Pass,Low Risk
36,Retail,2023-01-02 11:00:00,Investment,69.62887758781397,67.47531860434094,Pass,Medium Risk
37,Investment Banking,2023-01-02 12:00:00,Mortgage,33.98749637680661,55.704789244396665,Pass,High Risk
38,Retail,2023-01-02 13:00:00,Insurance,72.47667715287615,57.56234143674673,Fail,High Risk
39,Retail,2023-01-02 14:00:00,Loan,6.535634079894237,61.26584649756175,Pass,Medium Risk
40,Wealth Management,2023-01-02 15:00:00,Insurance,31.529033783061035,62.5483330670149,Pass,Medium Risk
41,Wealth Management,2023-01-02 16:00:00,Loan,53.949129237533725,92.5308028920569,Pass,Low Risk
42,Wealth Management,2023-01-02 17:00:00,Investment,79.07231648389636,78.06113941412625,Fail,Medium Risk
43,Corporate,2023-01-02 18:00:00,Insurance,31.875250293206992,76.16954556871832,Pass,Medium Risk
44,Investment Banking,2023-01-02 19:00:00,Loan,62.58913764370091,55.73844359346087,Pass,High Risk
